word,newmeaning,meaning,urls
akh,a,a,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/a.mp3?raw=true
पेठॅ कनि,above,above,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/above.mp3?raw=true
पत,after,after,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/after.mp3?raw=true
बेयि,again,again,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/again%2C%20and.mp3?raw=true
छुस,am ,am,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/am.mp3?raw=true
बेयि,and,and,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/again%2C%20and.mp3?raw=true
काँह ति,any ,any,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/any.mp3?raw=true
च्यठ,at,at,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/at.mp3?raw=true
क्याजि,because,because,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/because.mp3?raw=true
बोन कनि,below,below,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/below%2C%20down.mp3?raw=true
दोन मँज,between,between,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/between.mp3?raw=true
दोनवय,both,both,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/both.mp3?raw=true
हेकुन,can,can,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/can.mp3?raw=true
हेकि न,couldn't,couldn't,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/couldn't.mp3?raw=true
करि न,didn't,didn't,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/didn't.mp3?raw=true
करून,do ,do,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/do.mp3?raw=true
मगर,does,does,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/does.mp3?raw=true
म कर,don't,don't,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/don't.mp3?raw=true
कोरॅ,done,done,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/done.mp3?raw=true
बोन कनि,down,down,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/below%2C%20down.mp3?raw=true
केन्ह,few,few,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/few.mp3?raw=true
रवातेर,for,for,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/for.mp3?raw=true
ब्रोन्ठकुन,further,further,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/further.mp3?raw=true
ओस,had,had,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/had.mp3?raw=true
छ्स नॅ,haven't,haven't,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/haven't.mp3?raw=true
छः,having,having,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/having.mp3?raw=true
हु,he ,he,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/he.mp3?raw=true
तमिसुन्द,her,her,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/her%2Chis.mp3?raw=true
येतनॅस,here,here,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/here.mp3?raw=true
पानस,herself,herself,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/herself%2Chimself.mp3?raw=true
पानस,himself,himself,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/herself%2Chimself.mp3?raw=true
तमिसुन्द,his,his,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/her%2Chis.mp3?raw=true
किथकेने,how,how,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/how.mp3?raw=true
अन्दरअ,in,in,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/in.mp3?raw=true
छु,is,is,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/is.mp3?raw=true
यि,it,it,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/it.mp3?raw=true
अमि सुन्द,its,its,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/its.mp3?raw=true
पानय,itself,itself,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/itself.mp3?raw=true
यिथय,just,just,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/just.mp3?raw=true
म्य,me ,me,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/me.mp3?raw=true
म्योन,my,my,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/my.mp3?raw=true
जरुरत छुनः,needn't,needn't,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/need%20not.mp3?raw=true
न,not,not,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/not.mp3?raw=true
वुन्य,now,now,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/now.mp3?raw=true
छः,of,of,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/of.mp3?raw=true
छुटटी,off,off,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/off.mp3?raw=true
प्यठ,on,on,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/on.mp3?raw=true
अकि लटि,once,once,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/once.mp3?raw=true
कुनुय,only,only,
या,or,or,
छि,our,our,
सोन,our ,our,
सोन,ours,ours,
पानय,ourselves,ourselves,
नेबर,out,out,
व्यठ,over,over,
पनुन,own,own,
हू ब हू,same,same,
हेकि,should,should,
वज़ि,should've,should've,
पज़ि न,shouldn't,shouldn't,
अद,so,so,
काँह ति,some,some,
त्युथ,such,such,
हु,that,that,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/that.mp3?raw=true
हु छु,that'll,that'll,
तिहुन्द,their,their,
तिहुन्द,theirs,theirs,
तिमन,them,them,
पानय,themselves,themselves,
तेलि,then,then,
हुति,there,there,
यिम सारी,these,these,
यि,this,this,
वारयाह,those ,those,
कमिस,too,too,
बोनकनि,under,under,
हयोर,up,up,
ओस,was ,was,
ऄसि न,wasn't ,wasn't,
अस्य,we,we,
क्या,what,what,
कर,when,when,
कथ,which,which,
बुन्ज,while,while,
कुस,who,who,
कमिस,whom,whom,
क्याजि,why,why,
सडेत,with,with,
ज़्येनुन,won,won,
हेकि ने,wouldn't ,wouldn't,
चय ओसुय,you'd,you'd,
च्य,you'll,you'll,
च़ छुरव,you're,you're,
च्य छुय,you've,you've,
च्योन,yourself,yourself,
करि,yourselves,yourselves,
यि,the,the,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/the.mp3?raw=true
b,i,i,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/I.mp3?raw=true
choun,your,your,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/your.mp3?raw=true